,Partner,Model,MAE,RMSE
0,CHN,STACK,0.8783701427625209,1.8017136958195352
1,DEU,STACK,0.14740231313702448,0.24170558251661065
2,IND,RF,1.9388167478365184,3.084513370675474
3,JPN,XGB,0.11104263360858621,0.27189912912956765
