Partner,MAE_norm,RMSE_norm
CHN,0.7050323751774495,0.7585464345385105
DEU,0.6528647648098292,0.7308580940063372
IND,0.31261467289710343,0.4180535630392811
JPN,0.25703692379203946,0.427648343443794
