Partner,Year,Actual,Predicted,Model
DEU,2006,0.82,0.893582267956533,Stacking
DEU,2006,1.81,1.7445909848379413,Stacking
DEU,2006,9.19,9.027019825861759,Stacking
DEU,2007,0.97,1.0455070966513045,Stacking
DEU,2007,0.82,0.8475767185473178,Stacking
DEU,2007,0.91,0.8682915883681612,Stacking
DEU,2007,9.23,9.138099375612464,Stacking
DEU,2007,1.63,1.7097922487722514,Stacking
DEU,2007,2.59,2.7355745525240547,Stacking
DEU,2007,5.24,5.586798471327851,Stacking
DEU,2008,5.29,5.242499009427899,Stacking
DEU,2008,2.7,2.6494866841066735,Stacking
DEU,2008,0.81,0.8180981173014266,Stacking
DEU,2008,9.06,9.12807967523611,Stacking
DEU,2008,0.97,0.9243653731526846,Stacking
DEU,2008,1.05,1.0789703702469853,Stacking
DEU,2008,1.76,1.6379638690628235,Stacking
DEU,2009,8.7,8.87977031514059,Stacking
DEU,2009,1.65,1.6887955702458584,Stacking
DEU,2009,0.74,0.8056183260220124,Stacking
DEU,2009,1.09,1.0946625484340515,Stacking
DEU,2009,1.1,1.005665068991305,Stacking
DEU,2009,2.85,2.725043227832076,Stacking
DEU,2009,5.25,5.282831185572359,Stacking
DEU,2010,5.81,5.448642096359871,Stacking
DEU,2010,2.88,2.8418708778048622,Stacking
DEU,2010,1.03,1.148879171604757,Stacking
DEU,2010,1.17,1.1748243920667574,Stacking
DEU,2010,0.75,0.8101600810128328,Stacking
DEU,2010,1.68,1.632456356448936,Stacking
DEU,2010,8.74,8.791938063358023,Stacking
DEU,2011,0.78,0.8077395351898242,Stacking
DEU,2011,1.19,1.2454702219784755,Stacking
DEU,2011,1.26,1.1119215785463936,Stacking
DEU,2011,2.84,2.8247920922588667,Stacking
DEU,2011,5.82,5.72922838253017,Stacking
DEU,2011,8.88,8.8196924048499,Stacking
DEU,2011,1.49,1.5918264390874934,Stacking
DEU,2012,5.84,5.7759492977387215,Stacking
DEU,2012,2.8,2.8249623831132435,Stacking
DEU,2012,0.79,0.818597830675904,Stacking
DEU,2012,1.32,1.459955414642954,Stacking
DEU,2012,1.35,1.2965819710363855,Stacking
DEU,2012,8.87,8.94172655639053,Stacking
DEU,2012,1.15,1.2505184807788752,Stacking
DEU,2013,1.59,1.383480718824851,Stacking
DEU,2013,8.66,8.873931218213603,Stacking
DEU,2013,0.77,0.8123393334001441,Stacking
DEU,2013,1.21,1.2162862084759702,Stacking
DEU,2013,1.39,1.3683661060784658,Stacking
DEU,2013,2.83,2.8082871452628955,Stacking
DEU,2013,5.94,5.828256853680715,Stacking
DEU,2014,1.34,1.3921245344232478,Stacking
DEU,2014,1.2,1.2709771876976736,Stacking
DEU,2014,5.91,5.908509650393043,Stacking
DEU,2014,2.84,2.819173089608935,Stacking
DEU,2014,0.81,0.801270987373474,Stacking
DEU,2014,8.74,8.77851950658761,Stacking
DEU,2014,1.21,1.4931543028197813,Stacking
DEU,2015,2.9,2.861571235822809,Stacking
DEU,2015,1.45,1.3742921328784314,Stacking
DEU,2015,1.2,1.2808286551835355,Stacking
DEU,2015,5.96,5.889296946845446,Stacking
DEU,2015,1.04,1.244603370582757,Stacking
DEU,2015,0.84,0.8127203208658214,Stacking
DEU,2015,8.94,8.911020541606788,Stacking
DEU,2016,2.89,2.8910052063881353,Stacking
DEU,2016,1.16,1.2647806790247116,Stacking
DEU,2016,0.39,0.7391271231070559,Stacking
DEU,2016,1.21,1.122646561872555,Stacking
DEU,2016,9.07,8.980580180199246,Stacking
DEU,2016,1.21,1.4189747293201893,Stacking
DEU,2016,5.93,5.965367748823326,Stacking
DEU,2017,8.94,9.020496613236425,Stacking
DEU,2017,0.43,0.44549855164724506,Stacking
DEU,2017,1.47,1.2926278932078357,Stacking
DEU,2017,5.95,5.904689626524338,Stacking
DEU,2017,1.32,1.2466683686809412,Stacking
DEU,2017,1.16,1.2657840036932464,Stacking
DEU,2017,2.89,2.8870808697513968,Stacking
DEU,2018,2.88,2.884959111917043,Stacking
DEU,2018,5.95,5.9169739177519585,Stacking
DEU,2018,1.6,1.4766652079076281,Stacking
DEU,2018,0.41,0.4593024249908705,Stacking
DEU,2018,1.21,1.3341580427461524,Stacking
DEU,2018,8.63,8.865304725307292,Stacking
DEU,2018,1.16,1.2743582936078661,Stacking
DEU,2019,8.85,8.794389097570631,Stacking
DEU,2019,1.18,1.2819591466887839,Stacking
DEU,2019,2.98,2.9224019569349418,Stacking
