Partner,Year,Actual,Predicted,Model,Actual_norm,Pred_norm
CHN,2007,4.03,523722.157446722,Stacking,0.13966979027219992,0.9999998200513976
CHN,2007,4.34,523737.62384312553,Stacking,0.15350290049085227,0.9999999647005673
CHN,2007,1.74,523714.02272744384,Stacking,0.037483266398929044,0.9999997439715947
CHN,2007,17.37,523741.3981822403,Stacking,0.7349397590361446,1.0
CHN,2007,5.41,523726.4881646549,Stacking,0.20124944221329763,0.9999998605543523
CHN,2007,6.92,523735.8445341643,Stacking,0.2686300758589915,0.999999948059615
CHN,2007,7.29,523734.2912957398,Stacking,0.285140562248996,0.9999999335329831
CHN,2008,6.81,-106399759.3281412,Stacking,0.26372155287817933,5.183245743722864e-08
CHN,2008,6.44,-106399759.17526937,Stacking,0.24721106648817492,5.32621882154416e-08
CHN,2008,4.18,-106399761.48293568,Stacking,0.14636323070058008,3.167978412932371e-08
CHN,2008,20.65,-106399752.53269245,Stacking,0.8813029897367246,1.1538675892541761e-07
CHN,2008,1.8,-106399764.87024929,Stacking,0.040160642570281124,0.0
CHN,2008,4.09,-106399763.05598116,Stacking,0.14234716644355197,1.6967907190412745e-08
CHN,2008,5.16,-106399761.52987576,Stacking,0.19009370816599733,3.124077807559189e-08
CHN,2009,21.38,16.88808999976036,Stacking,0.9138777331548416,0.9951018767680754
CHN,2009,5.7,5.488926997786538,Stacking,0.214190093708166,0.9951017701576265
CHN,2009,4.24,3.745742746281103,Stacking,0.14904060687193219,0.9951017538545299
CHN,2009,4.3,4.132098902071634,Stacking,0.15171798304328424,0.9951017574679183
CHN,2009,1.76,1.9498033797584189,Stacking,0.038375725122713075,0.9951017370580422
CHN,2009,6.78,5.100745273560005,Stacking,0.26238286479250333,0.9951017665271645
CHN,2009,6.75,6.101992040848639,Stacking,0.2610441767068273,0.9951017758913053
CHN,2010,6.54,8.491254603164663,Stacking,0.251673360107095,0.9951017982368366
CHN,2010,7.32,8.854692123895145,Stacking,0.28647925033467203,0.995101801635879
CHN,2010,1.5,3.8965888702952434,Stacking,0.02677376171352075,0.9951017552653153
CHN,2010,3.99,5.995824967673229,Stacking,0.13788487282463185,0.9951017748983798
CHN,2010,4.09,5.679580213430956,Stacking,0.14234716644355197,0.9951017719407069
CHN,2010,5.26,7.455911142341929,Stacking,0.19455600178491742,0.9951017885538073
CHN,2010,21.47,22.5121569427348,Stacking,0.9178937974118695,0.9951019293670514
CHN,2011,4.09,4.174878338978998,Stacking,0.14234716644355197,0.9951017578680121
CHN,2011,4.2,3.888238378036536,Stacking,0.14725568942436412,0.9951017551872176
CHN,2011,1.86,1.5565404086406325,Stacking,0.042838018741633205,0.9951017333800579
CHN,2011,7.62,7.349637141299431,Stacking,0.2998661311914324,0.9951017875598817
CHN,2011,6.55,6.671759590098194,Stacking,0.25211958946898705,0.9951017812200452
CHN,2011,22.62,20.161494891086047,Stacking,0.969210174029451,0.9951019073825306
CHN,2011,4.58,5.589525441481968,Stacking,0.1642124051762606,0.9951017710984715
CHN,2012,6.9,7.556641364629643,Stacking,0.2677376171352075,0.9951017894958847
CHN,2012,8.02,9.14626546936246,Stacking,0.31771530566711287,0.995101804362813
CHN,2012,3.89,4.227519731097439,Stacking,0.13342257920571174,0.9951017583603398
CHN,2012,4.5,4.307953102295721,Stacking,0.1606425702811245,0.9951017591125912
CHN,2012,1.99,1.2760626726663695,Stacking,0.04863900044622936,0.9951017307568953
CHN,2012,23.31,23.481698139641864,Stacking,0.9999999999999998,0.9951019384346665
CHN,2012,4.83,3.3796341214671943,Stacking,0.1753681392235609,0.9951017504305062
CHN,2013,5.57,3.7250598923589617,Stacking,0.20838911200356983,0.9951017536610939
CHN,2013,23.2,27.57222560889941,Stacking,0.9950914770191877,0.9951019766912447
CHN,2013,3.71,3.1411332625674984,Stacking,0.1253904506916555,0.9951017481999316
CHN,2013,4.81,4.012654959027733,Stacking,0.17447568049977685,0.9951017563508211
CHN,2013,1.63,-1.4571872165886948,Stacking,0.032574743418116905,0.9951017051942292
CHN,2013,8.06,12.198580529430078,Stacking,0.31950022311468096,0.9951018329095298
CHN,2013,6.94,9.186426319105363,Stacking,0.26952253458277553,0.9951018047384166
CHN,2014,1.49,1.82661847358418,Stacking,0.026327532351628727,0.9951017359059577
CHN,2014,4.34,5.036179223773639,Stacking,0.15350290049085227,0.9951017659233118
CHN,2014,6.36,7.141732627644273,Stacking,0.2436412315930388,0.9951017856154588
CHN,2014,8.11,8.054114969468054,Stacking,0.321731369924141,0.9951017941484968
CHN,2014,3.18,4.079031709968048,Stacking,0.10174029451137884,0.9951017569716084
CHN,2014,23.15,23.322308864898236,Stacking,0.9928603302097276,0.9951019369439814
CHN,2014,5.2,5.660840162167437,Stacking,0.19187862561356536,0.995101771765441
CHN,2015,8.06,7.709870569059433,Stacking,0.31950022311468096,0.9951017909289578
CHN,2015,1.3,1.2934954913818464,Stacking,0.017849174475680497,0.9951017309199355
CHN,2015,3.95,4.027629554872491,Stacking,0.13609995537706382,0.9951017564908707
CHN,2015,6.39,6.580245779021262,Stacking,0.24497991967871485,0.9951017803641641
CHN,2015,6.38,5.077644496585596,Stacking,0.24453369031682282,0.9951017663111149
CHN,2015,3.34,3.493779908453322,Stacking,0.10887996430165103,0.9951017514980524
CHN,2015,23.22,22.84021320353452,Stacking,0.9959839357429716,0.9951019324351912
CHN,2016,8.45,7.174706768630477,Stacking,0.3369031682284694,0.9951017859238488
CHN,2016,4.08,3.672949690764844,Stacking,0.14190093708165996,0.9951017531737343
CHN,2016,3.79,3.213758286201887,Stacking,0.1289602855867916,0.9951017488791557
CHN,2016,6.19,5.899419142309818,Stacking,0.23605533244087462,0.9951017739967463
CHN,2016,23.0,22.95710796156149,Stacking,0.9861668897813476,0.9951019335284471
CHN,2016,1.72,1.0778589846813564,Stacking,0.03659080767514501,0.9951017289031993
