Partner,HS code,Product Name,Year,TariffRate
Angola,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,14.22
Angola,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2023,0.15
Azerbaijan,39,PLASTICS AND ARTICLES THEREOF,2020,5.25
Azerbaijan,73,ARTICLES OF IRON OR STEEL,2023,11.12
Azerbaijan,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2021,8.67
Azerbaijan,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2019,1.66
Azerbaijan,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2022,12.3
Argentina,73,ARTICLES OF IRON OR STEEL,2018,14.71
Argentina,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,10.27
Argentina,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2022,10.22
Argentina,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2018,8.66
Argentina,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2020,22.27
Australia,39,PLASTICS AND ARTICLES THEREOF,2021,4.54
Australia,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,2.65
Australia,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,4.27
Australia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,0.42
Austria,39,PLASTICS AND ARTICLES THEREOF,2018,5.96
Austria,73,ARTICLES OF IRON OR STEEL,2021,2.78
Austria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,1.01
Austria,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2017,0.37
Austria,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2020,2.63
Bahrain,73,ARTICLES OF IRON OR STEEL,2018,5
Bahrain,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,4.05
Bahrain,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2019,5
Bahrain,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2017,5
Bangladesh,39,PLASTICS AND ARTICLES THEREOF,2021,6.13
Bangladesh,73,ARTICLES OF IRON OR STEEL,2023,18.54
Bangladesh,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,7.39
Bangladesh,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,8.98
Bangladesh,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2023,1.54
Armenia,39,PLASTICS AND ARTICLES THEREOF,2018,3.68
Armenia,73,ARTICLES OF IRON OR STEEL,2021,7.92
Armenia,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,1.68
Armenia,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2017,1.16
Armenia,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2020,11.34
Barbados,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2020,5.49
Barbados,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2022,19.73
Belgium,39,PLASTICS AND ARTICLES THEREOF,2018,6.1
Belgium,73,ARTICLES OF IRON OR STEEL,2021,2.94
Belgium,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2019,1.49
Belgium,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2017,0.12
Belgium,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2020,1.37
