Partner,HS code,Product Name,Year,TariffRate
Nepal,39,PLASTICS AND ARTICLES THEREOF,2020,10.67
Nepal,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2018,2.05
Nepal,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2021,2.43
Nepal,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2019,3.97
Netherlands,39,PLASTICS AND ARTICLES THEREOF,2017,5.92
Netherlands,73,ARTICLES OF IRON OR STEEL,2020,2.94
Netherlands,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2018,0.89
Netherlands,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2021,6.02
Netherlands,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2019,1.53
Vanuatu,73,ARTICLES OF IRON OR STEEL,2017,10
Vanuatu,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2021,0.17
Vanuatu,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2018,1.68
Vanuatu,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2022,0.66
New Zealand,39,PLASTICS AND ARTICLES THEREOF,2019,2.94
New Zealand,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2017,1.93
New Zealand,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2020,1.85
New Zealand,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2018,0.59
New Zealand,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2021,3.77
Nicaragua,73,ARTICLES OF IRON OR STEEL,2019,5.25
Nicaragua,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2017,4.82
Nicaragua,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2020,5.66
Nicaragua,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2018,13.55
Niger,39,PLASTICS AND ARTICLES THEREOF,2021,9.65
Niger,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2019,5.89
Niger,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2017,12.18
Niger,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2020,8.05
Nigeria,39,PLASTICS AND ARTICLES THEREOF,2020,5.96
Nigeria,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2018,9.56
Nigeria,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2021,6.04
Norway,39,PLASTICS AND ARTICLES THEREOF,2021,0
Solomon Islands,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2008,5.18
Djibouti,73,ARTICLES OF IRON OR STEEL,2006,22.14
Djibouti,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,33
"Gambia, The",73,ARTICLES OF IRON OR STEEL,2009,20
"Gambia, The",87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,20
Seychelles,39,PLASTICS AND ARTICLES THEREOF,2005,5.37
Seychelles,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2007,0
Seychelles,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2006,0
Antigua and Barbuda,39,PLASTICS AND ARTICLES THEREOF,2008,14.31
Antigua and Barbuda,73,ARTICLES OF IRON OR STEEL,2013,12.7
Antigua and Barbuda,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2006,10.86
Antigua and Barbuda,87,VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STO,2008,17.33
Antigua and Barbuda,90,"OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING,",2013,10.43
Armenia,73,ARTICLES OF IRON OR STEEL,2005,0.09
Bhutan,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,0.46
Belize,85,ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THERE,2005,11.68
Cape Verde,84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICA",2005,9.63
Cape Verde,94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS,",2005,41.68
