Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,6.058160825,5.45303097,-0.45589429,10.95278855,1.606258229,2.566812001,-1.87586392,9.489454015,1.220857909,5.619852293,-5.479483027,-13.9737287,3.325680199,9.5919563,-4.088214092,5.661361201,2.67305605,7.073837733,4.801634601,0.819141869,7.233943695,2.134327836,3.8810464,4.803310015,3.342014654,4.173382559,3.772401853,2.416256856,2.836582129,5.622258162,3.485227816,5.44268555,4.711561725,3.890126441,5.121277897,4.522919217,4.489896498,5.177026873,4.670156369,5.293294719,5.077287775,3.83312394,4.7395674,5.23953291,6.535944939,6.671904986,7.058599354,6.013789757,5.045124799,5.571788185,6.464379125,6.521458779,6.013605658,6.061059359,6.552639878,7.113478213,6.590249998,7.31941263,7.881915151,3.448017551,6.938679124,7.099828776,5.77511237,4.223259113,
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,4.90016186,2.334565592,3.430305914,3.396443622,2.683440741,4.207602003,6.054513839,10.94469206,-3.289882068,-9.117377096,-8.445355205,-7.27238799,-1.48021487,1.818011318,2.897139149,5.205393138,-14.11538081,3.789120958,-8.396090956,4.587225414,3.823703646,5.871931081,5.23715365,6.510425784,7.056348735,6.802589436,6.654387924,6.129558416,-3.347141497,1.555359799,2.090175078,0.748815412,-0.542751389,0.949449091,3.397553368,3.026628412,2.745926761,2.330152134,3.793317654,-3.133233031,7.828172328,4.083864092,1.68151075,3.387090638,
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,1.607142855,11.07205623,13.92405066,8.472222244,-8.83482715,30.47629744,13.01764962,3.862268599,3.469268027,2.580279266,-5.316697353,-7.556217712,6.3763768,5.003646045,-4.758268538,1.182993916,10.39900933,6.999991649,0.364007138,4.437997176,11.22999828,6.689998127,12.87000675,-0.250001381,3.929992393,4.110006317,3.092999234,4.790003593,4.299998244,5.300069403,2.490948753,3.348550671,6.296441291,6.980961759,6.768997378,6.46699952,8.293961291,6.24501095,2.539885702,4.334298975,1.928157912,3.80302899,5.292622249,4.308856927,2.507872053,3.814993274,4.953835341,2.05258865,2.052877744,-5.911362952,4.350040917,6.180161255,3.878116148,2.603796706,
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,10.66709741,10.45197189,10.52405522,10.5015672,10.42559646,9.07192872,9.598113872,8.421763562,8.98166257,-5.649649504,1.626508741,-3.497335939,7.567568827,-16.75422908,-14.80312631,5.185184974,9.154929209,14.17952015,26.13929577,6.495281921,-9.226405081,6.698897747,3.597051867,14.17114864,4.829180105,1.797000233,2.984519339,2.309707662,6.727329807,-1.596249088,-4.181785023,-3.825582297,0.307806596,3.148915972,4.378752035,4.223530362,1.287753205,4.716798555,7.144103907,4.148419308,2.626009827,2.704956247,-1.264916676,0.882373745,3.396084205,2.516592217,1.446099912,-2.32364807,-4.175428056,1.538662487,0.613170736,4.520038867,-2.863200815,1.846970129,0.997411675,-1.156508113,3.371398846,2.397955108,-0.838585871,-20.08936649,17.586139,10.87790094,3.048241806,3.378665533,
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.348024999,-6.43690771,-2.18134849,11.13196549,15.96830096,54.19930017,36.64112847,16.6163745,9.521570186,5.41431595,2.423313172,5.027444647,3.86713552,6.325267949,3.897183205,5.414002996,5.859116894,5.441847302,-3.004455539,0.865667236,0.95951171,-0.821837253,2.349858732,1.153847934,4.284130161,3.242258222,3.244098953,3.829003993,2.885852421,-3.015093355,7.391642565,4.226813334,1.994394149,2.971517462,
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.199995745,-9.600001087,-7.60000202,-11.70000386,-10.40000038,2.800004566,11.4000054,8.39999137,3.399999204,5.800003275,4.725306051,5.045267583,7.043192466,11.44974321,9.400001516,9.99999473,8.600006598,10.19999949,0.199995232,7.750017075,5.549974716,1.707852534,0.9987193,1.651124702,-3.829570568,-2.526446446,2.532183495,3.149197583,1.446455482,-0.672742919,2.438862102,-4.658395913,4.126540072,4.009848525,
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.89227701,4.892652265,4.956434177,4.999879812,4.930541008,4.770845184,4.913123209,7.36722545,5.106374705,4.807693394,3.95944112,10.21830376,5.351894106,13.55998522,3.592824377,-0.034020934,6.496594406,7.920807173,7.517021444,12.10874992,1.133297356,-0.106723586,-2.147435897,1.976198275,1.006423983,4.54738181,10.72695934,9.788480908,13.01084237,11.3429426,11.77870327,12.73622336,6.137885426,-0.019986339,0.731558012,1.105305787,4.234615878,3.893019995,9.423194715,12.24061207,4.993562061,5.399073207,9.665226796,4.780665053,2.219190537,4.511454602,3.339397383,-1.627477764,-0.446709637,1.417410992,-0.130071123,3.943893218,4.066465616,3.892260672,2.760260274,-0.018741496,-1.833237291,0.822068593,4.2565871,-13.52289971,17.98992441,9.250513295,0.500127942,3.50466435,
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,4.679999967,4.470000048,1.069999994,11.10999999,4.760000016,14.36363633,13.27503978,2.105263143,3.436426117,6.312292338,3.437500021,1.812688809,1.483679526,0.877192976,3.768115968,8.938547463,5.897435894,1.45278452,2.147971345,7.943925246,2.380952372,-5.285412264,2.008928582,0.481400441,-2.003484328,6.666666668,3.749999996,4.056224899,0.443844088,0.019212285,-3.534382094,-0.059738214,3.008567124,0.599613367,4.39914833,2.600475429,4.600000843,3.900000094,3.38264702,9.317156411,7.222435538,-1.477790598,3.410706677,2.321267223,1.674206114,5.54386638,3.345139709,-1.865955826,-5.626697711,-2.502878289,-3.742744317,-5.305299107,-0.279708545,-3.701067594,0.7755297,-0.657206304,3.611419837,-0.4328013,0.307106461,-6.827573035,4.607429171,6.476225712,4.917215573,5.972532601,
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,2.089295942,5.578917862,6.797625769,3.956596531,4.913441955,7.170589663,6.317219517,8.529443088,4.474097329,5.231029304,5.063336439,7.96748521,5.739161526,2.939567808,7.311017731,4.614567486,4.971215657,2.052694566,0.133344048,-1.371772911,0.275616373,-3.938737925,-4.042121403,-0.200665697,-1.676389783,-2.573884201,2.46348462,2.90949796,3.790130962,4.635787428,5.266526668,1.646498183,4.269296117,4.667265103,4.678276597,4.361341952,4.954208743,5.029354755,0.426885423,2.507810809,1.683799127,2.485565738,2.711339837,4.173295589,4.421433127,4.797008824,4.564384269,6.148497875,3.356999574,4.126722591,5.204092443,5.122275581,6.796011428,5.460569506,4.85718718,4.263920864,4.195206334,2.868084048,1.506721027,-12.71946901,10.02904888,3.747417812,2.516365902,-1.123355955,
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,,8.6,6.6,0.6,3.4,2.4,6.7,4.2,9.8,9.5,10.4,11.34292199,11.94034812,13.96872178,8.153938685,5.166649084,10.25712953,4.93432807,4.969897689,6.759560122,9.2,-4.25,0.83,-2.93,5.4,7.85,7.49,3.53,-0.06,3.16,-4.35,1.032189585,-0.544072051,4.924690005,5.852870364,4.223793634,2.208864051,3.394845985,0.338097902,0.467937567,4.387949444,1.389896404,3.053461857,1.140828999,5.759964637,3.202132062,3.961988709,6.069870607,5.094195448,-0.125812003,7.528225818,3.974423079,1.921175985,3.00482267,0.50395574,-3.545763393,-3.275916906,1.322869054,1.783666761,1.220777823,-3.276758796,4.76260438,3.016694354,3.241655328,3.419315166,
